Year,Social Cost of Carbon ($/g CO2e)
2010,1.72E-05
2011,1.77E-05
2012,1.83E-05
2013,1.89E-05
2014,1.94E-05
2015,2.00E-05
2016,2.11E-05
2017,2.16E-05
2018,2.22E-05
2019,2.27E-05
2020,2.33E-05
2021,2.33E-05
2022,2.38E-05
2023,2.44E-05
2024,2.50E-05
2025,2.55E-05
2026,2.61E-05
2027,2.66E-05
2028,2.72E-05
2029,2.72E-05
2030,2.77E-05
2031,2.83E-05
2032,2.88E-05
2033,2.94E-05
2034,2.99E-05
2035,3.05E-05
2036,3.11E-05
2037,3.16E-05
2038,3.22E-05
2039,3.27E-05
2040,3.33E-05
2041,3.38E-05
2042,3.38E-05
2043,3.44E-05
2044,3.49E-05
2045,3.55E-05
2046,3.60E-05
2047,3.66E-05
2048,3.72E-05
2049,3.77E-05
2050,3.83E-05
2051,3.86E-05
2052,3.92E-05
2053,3.97E-05
2054,4.02E-05
2055,4.07E-05
2056,4.12E-05
2057,4.17E-05
2058,4.22E-05
2059,4.27E-05
2060,4.32E-05
