Unit: $/MW,Distributed Solar Soft Costs
2019,495103
2020,483035
2021,459733
2022,436432
2023,413131
2024,389830
2025,366528
2026,343227
2027,319926
2028,296625
2029,273323
2030,250022
2031,247118
2032,244214
2033,241310
2034,238406
2035,235502
2036,232598
2037,229694
2038,226790
2039,223885
2040,220981
2041,218077
2042,215173
2043,212269
2044,209365
2045,206461
2046,203557
2047,200653
2048,197749
2049,194845
2050,191941
2051,189037
2052,186133
2053,183229
2054,180325
2055,177420
2056,174516
2057,171612
2058,168708
2059,165804
2060,162900
