Imported Electricity (MW*hour),2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
hard coal,27243974.04,32595299.49,35165463.92,28779827.37,32497004.72,34956374.55,31872990.68,32510450.5,33160659.51,33823872.7,34500350.15,35190357.15,35894164.3,36612047.58,37344288.54,38091174.31,38852997.79,39630057.75,40422658.9,41231112.08,42055734.32,42896849.01,43754785.99,44629881.71,45522479.34,46432928.93,47361587.51,48308819.26,49274995.64,50260495.56,51265705.47,52291019.58,53336839.97,54403576.77,55491648.3,56601481.27,57733510.9,58888181.11,60065944.74,61267263.63,62492608.9,63742461.08,65017310.3,66317656.51
natural gas nonpeaker,537813.6065,669955.9013,786831.0348,607160.8555,748888.8333,837168.7332,697969.8274,711929.224,726167.8085,740691.1646,755504.9879,770615.0877,786027.3894,801747.9372,817782.896,834138.5539,850821.325,867837.7515,885194.5065,902898.3966,920956.3646,939375.4919,958163.0017,977326.2617,996872.787,1016810.243,1037146.448,1057889.377,1079047.164,1100628.107,1122640.669,1145093.483,1167995.353,1191355.26,1215182.365,1239486.012,1264275.732,1289561.247,1315352.472,1341659.521,1368492.712,1395862.566,1423779.817,1452255.414
nuclear,2638775.248,3668029.995,4422122.186,3588518.833,4037389.063,4533588.908,3814737.372,3891032.12,3968852.762,4048229.817,4129194.414,4211778.302,4296013.868,4381934.145,4469572.828,4558964.285,4650143.57,4743146.442,4838009.371,4934769.558,5033464.949,5134134.248,5236816.933,5341553.272,5448384.337,5557352.024,5668499.064,5781869.046,5897506.427,6015456.555,6135765.686,6258481,6383650.62,6511323.632,6641550.105,6774381.107,6909868.729,7048066.104,7189027.426,7332807.974,7479464.134,7629053.417,7781634.485,7937267.175
hydro,43443705.27,42535466.88,38952645.56,43169921.68,37134037.82,32119233.43,39559168.44,40350351.81,41157358.85,41980506.02,42820116.14,43676518.47,44550048.83,45441049.81,46349870.81,47276868.22,48222405.59,49186853.7,50170590.77,51174002.59,52197482.64,53241432.29,54306260.94,55392386.16,56500233.88,57630238.56,58782843.33,59958500.2,61157670.2,62380823.61,63628440.08,64901008.88,66199029.06,67523009.64,68873469.83,70250939.23,71655958.01,73089077.17,74550858.72,76041875.89,77562713.41,79113967.68,80696247.03,82310171.97
onshore wind,4516840.307,6377262.719,7692173.654,7165595.352,8645582.759,10628667.66,7504353.741,7654440.816,7807529.633,7963680.225,8122953.83,8285412.906,8451121.164,8620143.588,8792546.459,8968397.389,9147765.336,9330720.643,9517335.056,9707681.757,9901835.392,10099872.1,10301869.54,10507906.93,10718065.07,10932426.37,11151074.9,11374096.4,11601578.33,11833609.89,12070282.09,12311687.73,12557921.49,12809079.92,13065261.52,13326566.75,13593098.08,13864960.04,14142259.24,14425104.43,14713606.52,15007878.65,15308036.22,15614196.94
solar PV,1129210.077,1594315.68,1923043.414,1791398.838,2161395.69,2657166.914,1876088.435,1913610.204,1951882.408,1990920.056,2030738.457,2071353.227,2112780.291,2155035.897,2198136.615,2242099.347,2286941.334,2332680.161,2379333.764,2426920.439,2475458.848,2524968.025,2575467.386,2626976.733,2679516.268,2733106.593,2787768.725,2843524.1,2900394.582,2958402.473,3017570.523,3077921.933,3139480.372,3202269.979,3266315.379,3331641.686,3398274.52,3466240.011,3535564.811,3606276.107,3678401.629,3751969.662,3827009.055,3903549.236
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,1114524.753,1237315.441,1459955.31,2270440.557,2577876.642,2640297.655,1883401.726,1921069.761,1959491.156,1998680.979,2038654.599,2079427.691,2121016.245,2163436.569,2206705.301,2250839.407,2295856.195,2341773.319,2388608.785,2436380.961,2485108.58,2534810.752,2585506.967,2637217.106,2689961.448,2743760.677,2798635.891,2854608.609,2911700.781,2969934.796,3029333.492,3089920.162,3151718.565,3214752.937,3279047.995,3344628.955,3411521.534,3479751.965,3549347.004,3620333.944,3692740.623,3766595.436,3841927.345,3918765.891
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,44.95480884,26.89418472,55.13893905,57.24061346,73.05280341,7.200906581,44.08037601,44.96198353,45.8612232,46.77844767,47.71401662,48.66829695,49.64166289,50.63449615,51.64718607,52.68012979,53.73373239,54.80840704,55.90457518,57.02266668,58.16312001,59.32638241,60.51291006,61.72316826,62.95763163,64.21678426,65.50111995,66.81114235,68.14736519,69.5103125,70.90051875,72.31852912,73.7648997,75.2401977,76.74500165,78.27990168,79.84549972,81.44240971,83.07125791,84.73268307,86.42733673,88.15588346,89.91900113,91.71738115
natural gas peaker,1254898.415,1563230.436,1835939.081,1416708.663,1747407.278,1953393.711,1628596.264,1661168.189,1694391.553,1728279.384,1762844.972,1798101.871,1834063.909,1870745.187,1908160.091,1946323.292,1985249.758,2024954.753,2065453.849,2106762.925,2148898.184,2191876.148,2235713.671,2280427.944,2326036.503,2372557.233,2420008.378,2468408.545,2517776.716,2568132.25,2619494.895,2671884.793,2725322.489,2779828.939,2835425.518,2892134.028,2949976.709,3008976.243,3069155.768,3130538.883,3193149.661,3257012.654,3322152.907,3388595.965
lignite,1433893.371,1715542.079,1850813.891,1514727.756,1710368.669,1839809.187,1677525.825,1711076.342,1745297.869,1780203.826,1815807.903,1852124.061,1889166.542,1926949.873,1965488.87,2004798.648,2044894.621,2085792.513,2127508.363,2170058.531,2213459.701,2257728.895,2302883.473,2348941.143,2395919.965,2443838.365,2492715.132,2542569.435,2593420.823,2645289.24,2698195.025,2752158.925,2807202.104,2863346.146,2920613.069,2979025.33,3038605.837,3099377.953,3161365.512,3224592.823,3289084.679,3354866.373,3421963.7,3490402.974
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,44.95480884,26.89418472,55.13893905,57.24061346,73.05280341,7.200906581,44.08037601,44.96198353,45.8612232,46.77844767,47.71401662,48.66829695,49.64166289,50.63449615,51.64718607,52.68012979,53.73373239,54.80840704,55.90457518,57.02266668,58.16312001,59.32638241,60.51291006,61.72316826,62.95763163,64.21678426,65.50111995,66.81114235,68.14736519,69.5103125,70.90051875,72.31852912,73.7648997,75.2401977,76.74500165,78.27990168,79.84549972,81.44240971,83.07125791,84.73268307,86.42733673,88.15588346,89.91900113,91.71738115
municipal solid waste,477653.4654,530278.0461,625695.133,973045.9531,1032354.01,1104804.275,790638.4804,806451.25,822580.275,839031.8805,855812.5181,872928.7684,890387.3438,908195.0907,926358.9925,944886.1724,963783.8958,983059.5737,1002720.765,1022775.18,1043230.684,1064095.298,1085377.204,1107084.748,1129226.443,1151810.972,1174847.191,1198344.135,1222311.018,1246757.238,1271692.383,1297126.23,1323068.755,1349530.13,1376520.733,1404051.147,1432132.17,1460774.814,1489990.31,1519790.116,1550185.918,1581189.637,1612813.43,1645069.698
