Unit: dimensionless (% of output purchased),government,domestic industries (MUST contain remainder),labor and consumers,foreign entities
agriculture and forestry 01T03,0.090298863,0.200743145,0.609740755,0.099217237
coal mining 05,0.00035579,0.99964421,0,0.00E+00
oil and gas extraction 06,4.31E-05,0.993391795,0,0.006565099
other mining and quarrying 07T08,1.34E-05,0.316604095,0,0.683382472
food beverage and tobacco 10T12,0.000780255,0.17900254,0.308901705,0.5113155
textiles apparel and leather 13T15,0.000468786,0.286297621,0.170089914,0.543143679
wood products 16,1.64E-03,0.323258523,0.093200898,0.581900061
pulp paper and printing 17T18,0.009540235,0.549936516,0.079776183,0.360747067
refined petroleum and coke 19,0.003135593,0.859359151,0.064232009,0.073273247
chemicals 20,0.053490264,0.389754412,0.021598646,0.535156678
rubber and plastic products 22,0.053490264,0.389754412,0.021598646,0.535156678
glass and glass products 231,0.003594896,0.743553214,0.004520157,0.248331733
cement and other nonmetallic minerals 239,0.043420001,0.297489294,0.002807837,0.656282867
iron and steel 241,1.02E-05,0.480846812,0,0.51914296
other metals 242,1.02E-05,0.480846812,0,0.51914296
metal products except machinery and vehicles 25,0.002524905,0.518185426,0.005457007,0.473832662
computers and electronics 26,0.00181374,0.365872791,0.019791323,0.612522146
appliances and electrical equipment 27,0.000567119,0.414909876,0.043518212,0.541004793
other machinery 28,0.001000574,0.369009491,0.001774795,0.628215141
road vehicles 29,4.18E-05,0.297479681,0.019052674,0.683425858
nonroad vehicles 30,4.18E-05,0.297479681,0.019052674,0.683425858
other manufacturing 31T33,0.021816726,0.826256705,0.020619552,0.131307017
energy pipelines and gas processing 352T353,0.006174175,0.779635609,0.214190216,0
water and waste 36T39,0.039973643,0.672815719,0.287210638,0
construction 41T43,0.007547454,0.621931138,0.033862356,0.336659052
